flowX,flowY,FPS,time
-69,-9,0,2.72486
-46,-20,0.400475,2.90428
-17,23,5.36015,3.06781
0,2,7.74411,3.2558
-2,-2,6.85678,3.44986
0,-8,5.81239,3.68024
0,4,5.13634,4.05701
0,8,2.88997,4.26728
-2,-1,5.73146,4.49739
0,-1,4.9481,4.72722
-3,7,5.16978,5.02385
-1,-6,3.73195,5.32319
-1,-2,3.6949,5.54673
-1,9,5.28196,5.80236
-4,12,4.56934,6.10811
0,8,3.56451,6.32993
-4,-3,5.50725,6.62997
-1,-2,3.6225,6.89892
-19,6,4.17303,7.13984
-186,53,4.81955,7.45084
-122,-138,3.54748,7.63708
-165,-253,6.68485,7.90899
-23,-11,4.1267,8.10991
0,-8,6.11041,8.31659
0,4,5.67825,8.51586
-9,-5,5.52667,8.69201
-4,-5,7.48801,8.83047
0,-2,10.6761,8.98202
0,-2,7.64005,9.19349
4,-3,5.56935,9.34111
0,-3,8.925,9.50648
0,0,7.52437,9.65011
0,3,9.86533,9.77605
0,2,9.53779,9.92342
-4,3,8.95019,10.071
3,5,8.50631,10.2468
1,-5,6.42403,10.4106
5,-5,8.46465,10.5959
3,-7,5.89921,10.768
4,-12,6.764,10.969
2,-10,6.17851,11.1588
1,-9,6.613,11.3825
1,10,5.15929,11.5488
-5,11,7.41087,11.7679
0,12,5.05182,11.957
0,11,6.54398,12.1522
-1,11,6.29625,12.3286
0,1,6.46111,12.5051
0,2,7.11115,12.6729
3,-2,7.69004,12.8334
1,-3,8.69568,12.995
3,-3,6.77727,13.1575
0,-1,8.57126,13.3222
2,-2,7.10997,13.4747
2,-2,7.46898,13.6403
6,-1,7.70394,13.8026
-8,-9,7.44587,13.987
-35,-41,6.64524,14.1533
-59,-72,8.23988,14.3078
-138,-96,8.52033,14.4462
-111,-129,9.43944,14.7653
-71,17,3.24171,14.9964
-97,-20,5.08498,15.2586
-2,18,4.34095,15.5347
0,-3,4.05089,15.7584
0,6,5.28662,16.0796
-2,-2,3.40921,16.2871
0,10,5.97137,16.6478
-2,0,2.94625,16.8207
0,0,6.35685,17.1066
-2,10,4.05022,17.3417
-4,4,5.16399,17.6729
-3,6,2.8333,17.8823
0,-2,6.13456,18.1946
-3,-15,3.48883,18.4222
-10,28,4.88765,18.6806
-7,13,4.50701,19.0048
-1,-2,3.3914,19.164
0,-4,8.69645,19.5423
