flowX,flowY,Vx,Vy,FPS,time
-65,-27,0,2.4304
-46,-28,0.432948,2.5605
-44,45,10.0674,2.70487
-2,0,7.58895,2.91941
-16,-7,5.51727,3.19154
-4,-5,4.16318,3.45896
0,1,4.38124,3.72886
1,4,4.27491,3.96996
-4,-6,4.6924,4.23507
0,7,4.45644,4.49157
0,2,4.49599,4.78617
-1,-1,3.58589,5.03523
-1,0,4.6169,5.3293
-2,-1,3.77288,5.56372
-1,0,5.15004,5.84933
-2,-3,3.92782,6.09689
-1,9,4.42025,6.40334
-2,0,3.69551,6.62984
-9,21,5.2144,6.92505
0,5,3.57034,7.1466
-2,-7,5.67259,7.46101
0,6,3.50508,7.68893
1,11,5.16628,7.9372
-7,-3,4.95002,8.26596
0,9,3.23379,8.48204
-2,0,5.20301,8.77207
-1,-2,3.86346,9.02496
-1,1,4.88369,9.28151
0,8,4.3756,9.48858
0,11,5.93064,9.84774
-10,-10,2.86019,10.0672
0,5,3.19822,10.4039
1,1,5.59193,10.6051
-7,-9,5.84046,10.8698
0,0,4.24549,11.112
0,0,4.64483,11.3596
0,2,4.70103,11.6656
-3,-10,3.64853,11.9304
0,0,4.15204,12.1881
-9,-7,4.54094,12.4808
